NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
ELECTRÓNICA MÉDICA,11C,"-2.14565, -79.96656",-2.14565,-79.96656
ENERGÍAS RENOVABLES,11F,"-2.14528, -79.96718",-2.14528,-79.96718
FIBRAS ÓPTICAS,11A,"-2.14464, -79.96763",-2.14464,-79.96763
SISTEMAS EN LA NUBE,11B,"-2.14509, -79.96725",-2.14509,-79.96725
MAQUINARIA ELÉCTRICA I,11C,"-2.14565, -79.96656",-2.14565,-79.96656
DISTRIBUCIÓN ELÉCTRICA II,11D,"-2.14542, -79.96613",-2.14542,-79.96613
ESTRUCTURAS DE DATOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
INSTRUMENTACIÓN,12H,"-2.14423, -79.96633",-2.14423,-79.96633
INVESTIGACIÓN EN CIENCIAS DE LA VIDA,3D,"-2.15063, -79.95777",-2.15063,-79.95777
ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,9B,"-2.14715, -79.96725",-2.14715,-79.96725
PRESUPUESTO,9B,"-2.14715, -79.96725",-2.14715,-79.96725
MARKETING TURÍSTICO,9F,"-2.14717, -79.96779",-2.14717,-79.96779
REFRIGERACIÓN Y CLIMATIZACIÓN,12C,"-2.14497, -79.96579",-2.14497,-79.96579
HORMIGÓN PREFORZADO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
MAQUINARIA ELÉCTRICA II,11D,"-2.14542, -79.96613",-2.14542,-79.96613
CONGRESOS Y EVENTOS,9B,"-2.14715, -79.96725",-2.14715,-79.96725
REDES DE DATOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
SIMULACIÓN,12H,"-2.14423, -79.96633",-2.14423,-79.96633
INTRODUCCIÓN A LA MANUFACTURA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
PREPRODUCCIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ORNITOLOGÍA,3D,"-2.15063, -79.95777",-2.15063,-79.95777
EVALUACIÓN DEL ESTADO NUTRICIONAL II,3H,"-2.15229, -79.95582",-2.15229,-79.95582
INGLÉS V,8E,"-2.1487, -79.96782",-2.1487,-79.96782
DISEÑO GRÁFICO III,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
MACROECONOMÍA III,9B,"-2.14715, -79.96725",-2.14715,-79.96725
SISTEMAS OPERATIVOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
ESTÁTICA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
ANTROPOLOGÍA DEL DISEÑO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,3D,"-2.15063, -79.95777",-2.15063,-79.95777
GESTIÓN COMERCIAL,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
ELECTRÓNICA DE POTENCIA I,11A,"-2.14464, -79.96763",-2.14464,-79.96763
SISTEMAS DIGITALES I,11A,"-2.14464, -79.96763",-2.14464,-79.96763
PRINCIPIOS DE ELECTRÓNICA,11D,"-2.14542, -79.96613",-2.14542,-79.96613
