NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
QUIMIOMETRIA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
DISEÑO DE CIMENTACIONES SUPERFICIALES Y PROFUNDAS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INTRODUCCIÓN A LA INDUSTRIA HIDROCARBURÍFERA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ESTRATIGRAFIA Y SEDIMENTACIÓN,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PATOLOGÍA ACUÍCOLA I,5K,"-2.14675, -79.96303",-2.14675,-79.96303
GEOMÁTICA,13C,"-2.14521, -79.9649",-2.14521,-79.9649
PETROFÍSICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
CLIMATOLOGÍA Y METEOROLOGÍA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MATERIA INTEGRADORA DE ESTADÍSTICA,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
ESTRUCTURA Y CARACTERIZACIÓN DE MATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
MÉTODOS GEOFÍSICOS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
GEOLOGÍA DEL PETRÓLEO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
GEOMORFOLOGIA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
BIOGEOQUÍMICA MARINA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
FUNDAMENTOS DE INGENIERÍA OCEANOGRÁFICA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
PERFORACIÓN,13H,"-2.14592, -79.96581",-2.14592,-79.96581
VULNERABILIDAD Y RIESGO GEOLÓGICO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
EVALUACIÓN DE PROYECTOS HIDROCARBURÍFEROS,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
SEGURIDAD MINERA,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
"VENTILACIÓN, DRENAJE Y SISTEMAS ELÉCTRICOS",FICT,"-2.14532, -79.96537",-2.14532,-79.96537
DISEÑO DE MATERIALES COMPUESTOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
CALIDAD Y EFICIENCIA ENERGÉTICA,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
GEOMÁTICA MINERA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
INGENIERÍA GEOLÓGICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ANTROPOLOGÍA BIOLÓGICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
PRODUCCIÓN ACUICOLA I,CENAIM,"-1.95497, -80.72931",-1.95497,-80.72931
PROPIEDADES DE HIDROCARBUROS Y COMPORTAMIENTO DE FASES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
EXPLOTACIÓN SUBTERRÁNEA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
OCEANOGRAFÍA FÍSICA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
OCEANOGRAFÍA DESCRIPTIVA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ECUACIONES EN DERIVADAS PARCIALES,8G,"-2.14859, -79.9672",-2.14859,-79.9672
TECTONICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DANZA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INTRODUCCIÓN A LA INGENIERÍA EN MATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
MATERIA INTEGRADORA EN ARQUEOLOGÍA,13C,"-2.14521, -79.9649",-2.14521,-79.9649
PLANEAMIENTO Y DISEÑO MINERO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PERFORACIÓN Y VOLADURA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
EXPLOTACIÓN A CIELO ABIERTO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PROCESOS ESTOCÁSTICOS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
FÍSICA: TERMODINÁMICA Y ÓPTICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
PETROGRAFÍA,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
GEOTECNIA MINERA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
BUENAS PRÁCTICAS EN ACUICULTURA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
CONSTRUCCIÓN NAVAL CON MATERIALES COMPUESTOS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ANÁLISIS DE FALLAS Y SELECCIÓN DE MATERIALES,12H,"-2.14423, -79.96633",-2.14423,-79.96633
GEOLOGÍA GENERAL,13H,"-2.14592, -79.96581",-2.14592,-79.96581
FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
OPTIMIZACIÓN LINEAL,9I,"-2.14608, -79.96717",-2.14608,-79.96717
INGENIERÍA DE CERÁMICOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
HIDROGEOLOGÍA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ANÁLISIS DE DATOS ACUÍCOLAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MATERIA INTEGRADORA DE MINAS,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
TELEDETECCIÓN,13G,"-2.14587, -79.96552",-2.14587,-79.96552
ECONOMIA DEL CRECIMIENTO Y DESARROLLO ,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
ECONOMIA DEL CRECIMIENTO Y DESARROLLO ,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
INGENIERÍA DE YACIMIENTOS I,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
SISTEMAS DINÁMICOS PARA LA TOMA DE DECISIONES,11A,"-2.14464, -79.96763",-2.14464,-79.96763
SISTEMAS DE CONTROL EMBEBIDOS (14 AL 30 OCT 2002),11A,"-2.14464, -79.96763",-2.14464,-79.96763
CORROSIÓN Y DEGRADACIÓN DE MATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
MINERALOGÍA ÓPTICA,13B,"-2.1456, -79.96506",-2.1456,-79.96506
LABORATORIO DE ARQUEOLOGÍA II,13C,"-2.14521, -79.9649",-2.14521,-79.9649
TRANSPORTE MULTIMODAL,8G,"-2.14859, -79.9672",-2.14859,-79.9672
MÉTODOS ROBUSTOS Y NO PARAMÉTRICOS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
SOLDADURA Y ENSAYOS NO DESTRUCTIVOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
PRIMER POBLAMIENTO AMERICANO,13C,"-2.14521, -79.9649",-2.14521,-79.9649
DEPÓSITOS MINERALES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
INGENIERÍA DE PRODUCCIÓN I,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PALEONTOLOGÍA APLICADA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
COMPLETACIÓN Y REACONDICIONAMIENTO DE POZOS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,3H,"-2.15229, -79.95582",-2.15229,-79.95582
ARQUEOLOGÍA SOCIAL LATINOAMERICANA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ARQUEOLOGÍA DEL ECUADOR II,9F,"-2.14717, -79.96779",-2.14717,-79.96779
PRODUCCIÓN VEGETAL I,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
TRANSFORMACIONES DE FASES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
SÍNTESIS DE MATERIALES,12H,"-2.14423, -79.96633",-2.14423,-79.96633
ANTROPOLOGÍA NUTRICIONAL,3H,"-2.15229, -79.95582",-2.15229,-79.95582
MATERIA INTEGRADORA DE MATEMÁTICA,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
MACHINE LEARNING,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
NUTRICIÓN ACUÍCOLA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
AGROECOSISTEMAS,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
PETROLOGÍA ÍGNEA Y METAMÓRFICA,13B,"-2.1456, -79.96506",-2.1456,-79.96506
EVALUACIÓN DE YACIMIENTOS MINERALES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
INGENIERÍA PARA LA ACUICULTURA I,5K,"-2.14675, -79.96303",-2.14675,-79.96303
DISEÑO DE BUQUES,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MANEJO ACUÍCOLA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
INTRODUCCIÓN A LA ACUICULTURA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ESTADÍSTICA MULTIVARIANTE,9C,"-2.14725, -79.96693",-2.14725,-79.96693
ARQUEOLOGÍA DEL VIEJO MUNDO,9F,"-2.14717, -79.96779",-2.14717,-79.96779
TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
INGENIERÍA DE PRODUCCIÓN II,13H,"-2.14592, -79.96581",-2.14592,-79.96581
EDAFOLOGÍA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
GENOTECNIA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
CULTIVO DE PLANCTON,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ADMINISTRACIÓN DE LA PRODUCCIÓN DE ALIMENTOS ,8G,"-2.14859, -79.9672",-2.14859,-79.9672
DISEÑO DE EXPERIMENTOS,9I,"-2.14608, -79.96717",-2.14608,-79.96717
DANZA FOLCLÓRICA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
GEOMECÁNICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PREPARACIÓN MECÁNICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PERFORACIÓN DIRECCIONAL,13H,"-2.14592, -79.96581",-2.14592,-79.96581
EVALUACIÓN DE FORMACIONES II,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DIBUJO TÉCNICO Y PLANOS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ESTADÍSTICA BAYESIANA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
SOFTWARE EN INGENIERÍA EN PETRÓLEO,13G,"-2.14587, -79.96552",-2.14587,-79.96552
DISEÑO DE PRODUCTOS IV,14B,"-2.14361, -79.96212",-2.14361,-79.96212
CONTROL ESTADÍSTICO DE PROCESOS,9I,"-2.14608, -79.96717",-2.14608,-79.96717
OPTIMIZACIÓN COMBINATORIA,9I,"-2.14608, -79.96717",-2.14608,-79.96717
SEÑALES Y SISTEMAS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
DISTRIBUCIÓN ELÉCTRICA I,11F,"-2.14528, -79.96718",-2.14528,-79.96718
HSEQ EN LA INDUSTRIA HIDROCARBURÍFERA,13G,"-2.14587, -79.96552",-2.14587,-79.96552
INGENIERÍA DE YACIMIENTOS II,13H,"-2.14592, -79.96581",-2.14592,-79.96581
GESTIÓN DE DRAGADOS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
TRANSPORTE MARÍTIMO,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ELEMENTOS DE COMPUTACIÓN CIENTÍFICA,9I,"-2.14608, -79.96717",-2.14608,-79.96717
AGENCIAS DE VIAJE,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
COMPORTAMIENTO MECÁNICO,12E,"-2.14471, -79.96635",-2.14471,-79.96635
MATERIA INTEGRADORA PARA PETRÓLEOS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DISEÑO DE CAMPO GEOLÓGICO,13B,"-2.1456, -79.96506",-2.1456,-79.96506
LABORATORIO DE ARQUEOLOGÍA I,13C,"-2.14521, -79.9649",-2.14521,-79.9649
SISTEMAS ACUÍCOLAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
CONTAMINACIÓN MARINA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
GESTIÓN MARÍTIMA PORTUARIA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
TEORÍA DEL TURISMO,9B,"-2.14715, -79.96725",-2.14715,-79.96725
LOGÍSTICA II,9C,"-2.14725, -79.96693",-2.14725,-79.96693
LOGÍSTICA I,9C,"-2.14725, -79.96693",-2.14725,-79.96693
ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,9F,"-2.14717, -79.96779",-2.14717,-79.96779
LOGÍSTICA I,9M,"-2.14682, -79.96671",-2.14682,-79.96671
MATERIA INTEGRADORA DE TURISMO,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
PROPIEDADES  FUNCIONALES DE LOS  MATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
INGENIERÍA DE TÚNELES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
MATERIA INTEGRADORA DE BIOLOGÍA,3D,"-2.15063, -79.95777",-2.15063,-79.95777
INGENIERÍA PARA LA ACUICULTURA II,5K,"-2.14675, -79.96303",-2.14675,-79.96303
GEOLOGÍA MARINA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MEDIDA Y PROBABILIDAD,8G,"-2.14859, -79.9672",-2.14859,-79.9672
TEORÍA DE LA MEDIDA,9I,"-2.14608, -79.96717",-2.14608,-79.96717
GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,11A,"-2.14464, -79.96763",-2.14464,-79.96763
MATERIA INTEGRADORA DE MATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
ANÁLISIS DE ALIMENTOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
ARQUEOLOGÍA ANDINOAMERICANA,13C,"-2.14521, -79.9649",-2.14521,-79.9649
GEOLOGIA DE ECUADOR,13H,"-2.14592, -79.96581",-2.14592,-79.96581
EVALUACIÓN DE FORMACIONES I,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ELECTRICIDAD Y ELECTRÓNICA PARA BUQUES,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MATERIA INTEGRADORA DE INGENIERÍA AGRÍCOLA Y BIOLÓGICA,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
MATERIALES Y MANUFACTURA II,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
MATERIA INTEGRADORA DE MECÁNICA,FIMCP,"-2.14437, -79.96617",-2.14437,-79.96617
NANOTECNOLOGÍA Y NANOMATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
TERMODINÁMICA DE MATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
INOCUIDAD ALIMENTARIA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
GEOLOGÍA ESTRUCTURAL,13H,"-2.14592, -79.96581",-2.14592,-79.96581
MATERIA INTEGRADORA DE INGENIERÍA CIVIL,13H,"-2.14592, -79.96581",-2.14592,-79.96581
GEOMETRÍA DIFERENCIAL,9I,"-2.14608, -79.96717",-2.14608,-79.96717
TÉCNICAS DE MUESTREO Y ANÁLISIS MULTIVARIADO,9M,"-2.14682, -79.96671",-2.14682,-79.96671
MATERIA INTEGRADORA DE ECONOMÍA,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
MATERIA INTEGRADORA DE ADMINISTRACIÓN DE EMPRESAS,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
ARQUEOLOGÍA DEL ECUADOR I,13C,"-2.14521, -79.9649",-2.14521,-79.9649
SIMULACIÓN DE RESERVORIOS,13G,"-2.14587, -79.96552",-2.14587,-79.96552
PROTOTIPADO AVANZADO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
OCEANOGRAFÍA PESQUERA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MATERIA INTEGRADORA DE OCEANOGRAFÍA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MODELOS ESTADÍSTICOS APLICADOS II,8G,"-2.14859, -79.9672",-2.14859,-79.9672
FUNDAMENTOS DE OPTIMIZACIÓN,8G,"-2.14859, -79.9672",-2.14859,-79.9672
ARQUEOLOGÍA DE MESOAMÉRICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ECOSISTEMAS ACUÍCOLAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
DATOS CATEGÓRICOS,8G,"-2.14859, -79.9672",-2.14859,-79.9672
APRENDIZAJE ESTADÍSTICO,9C,"-2.14725, -79.96693",-2.14725,-79.96693
MATEMÁTICA APLICADA A LA INGENIERÍA,9C,"-2.14725, -79.96693",-2.14725,-79.96693
ECUACIONES DIFERENCIALES I,9I,"-2.14608, -79.96717",-2.14608,-79.96717
OPTIMIZACIÓN NO LINEAL Y ESTOCÁSTICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
SISTEMAS DE TRANSPORTE,9M,"-2.14682, -79.96671",-2.14682,-79.96671
PISCICULTURA,CENAIM,"-1.95497, -80.72931",-1.95497,-80.72931
INGENIERÍA DE METALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
MATERIA INTEGRADORA DE ELECTRICIDAD,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL,12C,"-2.14497, -79.96579",-2.14497,-79.96579
SISTEMAS ENERGÉTICOS SOSTENIBLES,12H,"-2.14423, -79.96633",-2.14423,-79.96633
EVOLUCIÓN,3D,"-2.15063, -79.95777",-2.15063,-79.95777
ECOLOGÍA ACUÁTICA,3D,"-2.15063, -79.95777",-2.15063,-79.95777
EVOLUCIÓN,3H,"-2.15229, -79.95582",-2.15229,-79.95582
CULTIVO DE ESPECIES NO TRADICIONALES,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ACUICULTURA ORNAMENTAL,CENAIM,"-1.95497, -80.72931",-1.95497,-80.72931
MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
MATERIA INTEGRADORA DE MECATRÓNICA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
ENTOMOLOGÍA,3D,"-2.15063, -79.95777",-2.15063,-79.95777
ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,13C,"-2.14521, -79.9649",-2.14521,-79.9649
